Server,Domain,UserName,Password,WaitTime
TSHOST01,TSHOST01,TestUser01,Password100,5
TSHOST01,TSHOST01,TestUser02,Password100,5
TSHOST01,TSHOST01,TestUser03,Password100,5
TSHOST01,TSHOST01,TestUser04,Password100,5
TSHOST01,TSHOST01,TestUser05,Password100,5
TSHOST01,TSHOST01,TestUser06,Password100,5
TSHOST01,TSHOST01,TestUser07,Password100,5
TSHOST01,TSHOST01,TestUser08,Password100,5
TSHOST01,TSHOST01,TestUser09,Password100,5
TSHOST01,TSHOST01,TestUser10,Password100,5
TSHOST01,TSHOST01,TestUser11,Password100,5
TSHOST01,TSHOST01,TestUser12,Password100,5
TSHOST01,TSHOST01,TestUser13,Password100,5
TSHOST01,TSHOST01,TestUser14,Password100,5
TSHOST01,TSHOST01,TestUser15,Password100,5
TSHOST01,TSHOST01,TestUser16,Password100,5
